OBS,D,DISTANCE,INCOME,OLD
1,1,3,42.24318,0
2,0,-3.7461,43.41784,1
3,0,-3.7461,43.41784,1
4,0,-3.7369,43.82044,0
5,1,-3.7369,43.43426,1
6,1,-3.7162,42.68955,1
7,1,-3.7092,44.05817,1
8,1,-3.7092,44.27197,0
9,1,-3.7092,44.05817,1
10,1,-3.7092,44.05817,1
11,1,-3.7092,44.05817,1
12,1,-3.7092,44.05817,1
13,1,-3.6894,41.12455,1
14,1,-3.6894,41.12455,1
15,1,-3.6894,41.12455,1
16,1,-3.6894,41.12455,1
17,1,-3.6894,41.12455,1
18,1,-3.6894,41.79199,0
19,1,-3.6894,41.12455,1
20,1,-3.6264,43.87983,0
21,1,-3.6264,42.00596,1
22,1,-3.61889,43.3972,1
23,1,-3.61889,43.3972,1
24,1,-3.61889,43.3972,1
25,1,-3.61889,43.3972,1
26,1,-3.61889,43.3972,1
27,1,-3.61889,43.3972,1
28,1,-3.61889,43.3972,1
29,1,-3.61889,43.3972,1
30,1,-3.61889,43.3972,1
31,1,-3.61889,43.3972,1
32,1,-3.61889,43.3972,1
33,1,-3.61889,43.3972,1
34,1,-3.61889,43.3972,1
35,1,-3.61889,43.3972,1
36,1,-3.61889,43.3972,1
37,1,-3.61889,43.3972,1
38,1,-3.61889,43.3972,1
39,1,-3.61889,43.3972,1
40,1,-3.61889,44.17924,0
41,1,-3.61889,43.3972,1
42,1,-3.61889,43.3972,1
43,1,-3.61889,43.3972,1
44,1,-3.61889,43.3972,1
45,1,-3.61889,43.3972,1
46,1,-3.61889,43.3972,1
47,1,-3.61889,43.3972,1
48,1,-3.61889,43.3972,1
49,1,-3.61889,43.3972,1
50,1,-3.61889,43.3972,1
51,1,-3.61889,43.3972,1
52,1,-3.61889,43.3972,1
53,1,-3.61889,43.3972,1
54,1,-3.61889,43.3972,1
55,1,-3.61889,43.3972,1
56,1,-3.61889,43.3972,1
57,1,-3.61889,43.3972,1
58,1,-3.61889,43.3972,1
59,1,-3.61889,43.3972,1
60,1,-3.61889,43.3972,1
61,0,-3.61889,43.3972,1
62,1,-3.5722,44.39067,1
63,1,-3.5722,44.39067,1
64,1,-3.5722,44.39067,1
65,1,-3.5722,44.39067,1
66,1,-3.5722,44.39067,1
67,1,-3.5722,45.63746,0
68,1,-3.5722,44.39067,1
69,1,-3.5722,44.39067,1
70,1,-3.5722,45.63746,0
71,1,-3.5722,44.39067,1
72,1,-3.5722,44.39067,1
73,1,-3.5722,45.63746,0
74,1,-3.5722,44.39067,1
75,1,-3.5722,42.59638,1
76,1,-3.5722,44.39067,1
77,1,-3.5722,45.63746,0
78,1,-3.5722,44.39067,1
79,1,-3.5722,44.39067,1
80,1,-3.5722,44.39067,1
81,1,-3.5722,45.63746,0
82,1,-3.5722,44.39067,1
83,1,-3.5722,44.39067,1
84,1,-3.5722,44.39067,1
85,1,-3.5722,44.39067,1
86,1,-3.5722,44.39067,1
87,1,-3.5722,44.39067,1
88,1,-3.5722,44.39067,1
89,1,-3.5722,45.63746,0
90,1,-3.5722,44.39067,1
91,1,-3.5722,44.39067,1
92,1,-3.5722,44.39067,1
93,1,-3.5722,44.39067,1
94,1,-3.5722,44.39067,1
95,1,-3.5722,44.39067,1
96,1,-3.5722,44.39067,1
97,0,-3.5183,46.89419,0
98,0,-3.5183,46.89419,0
99,1,-3.5183,45.457,1
100,0,-3.5183,45.457,1
101,1,-3.5066,41.81381,1
102,1,-3.5066,41.81381,1
103,1,-3.5066,41.81381,1
104,1,-3.412,42.82301,1
105,1,-3.412,42.82301,1
106,1,-3.412,42.82301,1
107,1,-3.412,42.82301,1
108,1,-3.412,42.82301,1
109,1,-3.412,42.82301,1
110,1,-3.412,42.82301,1
111,1,-3.412,43.10059,0
112,1,-3.412,42.82301,1
113,1,-3.412,42.82301,1
114,1,-3.412,42.82301,1
115,1,-3.412,42.82301,1
116,1,-3.412,42.82301,1
117,1,-3.412,42.82301,1
118,1,-3.412,42.82301,1
119,1,-3.412,42.82301,1
120,1,-3.412,42.82301,1
121,1,-3.412,42.82301,1
122,1,-3.412,42.82301,1
123,1,-3.412,42.82301,1
124,1,-3.412,42.82301,1
125,1,-3.412,42.82301,1
126,1,-3.412,42.82301,1
127,1,-3.412,42.82301,1
128,1,-3.412,42.82301,1
129,1,-3.412,42.82301,1
130,1,-3.412,42.82301,1
131,1,-3.412,42.82301,1
132,1,-3.412,42.82301,1
133,1,-3.412,43.10059,0
134,1,-3.412,42.82301,1
135,1,-3.412,42.82301,1
136,1,-3.412,42.82301,1
137,1,-3.412,42.82301,1
138,1,-3.412,43.10059,0
139,1,-3.412,42.82301,1
140,1,-3.412,42.82301,1
141,1,-3.412,42.82301,1
142,1,-3.412,43.10059,0
143,1,-3.412,42.82301,1
144,1,-3.412,43.10059,0
145,1,-3.412,43.10059,0
146,1,-3.412,42.82301,1
147,1,-3.412,42.82301,1
148,1,-3.412,42.82301,1
149,1,-3.412,42.82301,1
150,1,-3.412,42.82301,1
151,1,-3.412,42.82301,1
152,1,-3.412,42.82301,1
153,1,-3.412,42.82301,1
154,1,-3.412,42.82301,1
155,1,-3.412,43.10059,0
156,1,-3.412,42.82301,1
157,1,-3.412,42.82301,1
158,1,-3.412,42.82301,1
159,1,-3.412,42.82301,1
160,1,-3.412,43.10059,0
161,1,-3.412,43.10059,0
162,1,-3.412,42.82301,1
163,0,-3.412,42.82301,1
164,0,-3.412,42.82301,1
165,1,-3.3928,42.40541,1
166,1,-3.3928,42.40541,1
167,1,-3.215,44.80843,1
168,1,-3.215,44.80843,1
169,1,-3.215,44.80843,1
170,1,-3.215,47.33809,0
171,1,-3.215,47.33809,0
172,1,-3.215,44.80843,1
173,1,-3.215,44.80843,1
174,1,-3.215,44.80843,1
175,1,-3.215,44.80843,1
176,1,-3.215,44.80843,1
177,1,-3.215,44.80843,1
178,1,-3.215,44.80843,1
179,1,-3.215,44.80843,1
180,1,-3.215,44.80843,1
181,1,-3.215,44.80843,1
182,1,-3.215,44.80843,1
183,1,-3.215,44.80843,1
184,0,-3.1542,43.73791,0
185,1,-3.0929,41.51211,1
186,0,-3.0121,43.70931,1
187,1,-2.9804,42.95016,1
188,1,-2.9804,42.95016,1
189,1,-2.9804,42.95016,1
190,1,-2.9804,42.95016,1
191,1,-2.9804,42.95016,1
192,1,-2.9804,43.58386,1
193,0,-2.9804,44.43095,0
194,1,-2.9804,42.95016,1
195,1,-2.9804,44.43095,0
196,1,-2.9804,43.58386,1
197,1,-2.9804,42.95016,1
198,1,-2.9256,42.48596,1
199,1,-2.9256,42.01718,1
200,1,-2.79146,47.64022,0
201,1,-2.79146,47.14133,1
202,1,-2.79146,47.64022,0
203,1,-2.79146,47.14133,1
204,1,-2.79146,47.14133,1
205,1,-2.79146,47.14133,1
206,1,-2.79146,47.14133,1
207,1,-2.79146,47.14133,1
208,1,-2.79146,47.14133,1
209,1,-2.79146,47.14133,1
210,1,-2.79146,47.14133,1
211,1,-2.79146,47.14133,1
212,1,-2.7754,42.00634,1
213,1,-2.7754,42.00634,1
214,1,-2.7754,42.00634,1
215,0,-2.7754,42.00634,1
216,1,-2.7754,42.00634,1
217,1,-2.7754,42.00634,1
218,1,-2.7754,42.00634,1
219,1,-2.7754,42.00634,1
220,0,-2.7754,42.00634,1
221,1,-2.6077,42.04423,1
222,1,-2.2931,42.66337,1
223,1,-2.2931,42.66337,1
224,1,-2.2931,42.66337,1
225,0,-2.2931,42.56861,0
226,1,-2.2047,42.37153,1
227,1,-2.2047,42.37153,1
228,1,-2.2047,42.37153,1
229,1,-2.2047,43.08038,0
230,1,-2.2047,42.37153,1
231,1,-2.2047,42.37153,1
232,1,-2.093,43.72443,1
233,1,-1.9698,43.91321,1
234,1,-1.9698,43.91321,1
235,1,-1.9698,43.91321,1
236,1,-1.9698,43.91321,1
237,1,-1.9698,43.91321,1
238,1,-1.9698,43.91321,1
239,1,-1.9698,43.91321,1
240,1,-1.9698,43.91321,1
241,1,-1.9698,43.91321,1
242,1,-1.9698,43.91321,1
243,1,-1.9698,43.91321,1
244,1,-1.9698,43.91321,1
245,1,-1.9698,43.91321,1
246,1,-1.9698,45.25379,0
247,0,-1.9698,43.91321,1
248,0,-1.9698,43.91321,1
249,1,-1.9698,43.91321,1
250,1,-1.9698,43.91321,1
251,1,-1.9698,45.25379,0
252,1,-1.9698,43.91321,1
253,1,-1.9698,43.91321,1
254,1,-1.9698,43.91321,1
255,1,-1.9698,43.91321,1
256,1,-1.9698,43.91321,1
257,1,-1.9698,43.91321,1
258,1,-1.874,42.07913,1
259,1,-1.874,42.8652,0
260,1,-1.8367,43.92459,1
261,0,-1.8367,43.07884,1
262,0,-1.5803,43.12026,1
263,1,-1.5803,43.12026,1
264,1,-1.4547,45.61085,1
265,0,-1.4547,45.61085,1
266,1,-1.4547,47.50971,0
267,1,-1.4379,51.66299,1
268,1,-1.4379,54.92795,0
269,1,-1.4379,51.66299,1
270,1,-1.4379,51.66299,1
271,1,-1.4379,51.66299,1
272,1,-1.4379,51.66299,1
273,1,-1.4379,54.92795,0
274,1,-1.4379,51.66299,1
275,1,-1.4379,51.66299,1
276,1,-1.4379,54.92795,0
277,0,-1.4379,51.66299,1
278,0,-1.4379,51.66299,1
279,1,-1.4379,51.66299,1
280,1,-1.4379,54.92795,0
281,1,-1.4379,51.66299,1
282,1,-1.4379,51.66299,1
283,0,-1.4379,51.66299,1
284,0,-1.4379,51.66299,1
285,1,-1.4379,51.66299,1
286,1,-1.4379,51.66299,1
287,1,-1.4379,51.66299,1
288,1,-1.4379,51.66299,1
289,1,-1.4379,51.66299,1
290,1,-1.4379,54.92795,0
291,1,-1.4379,51.66299,1
292,1,-1.4379,51.66299,1
293,1,-1.4379,51.66299,1
294,1,-1.4379,51.66299,1
295,1,-1.4379,51.66299,1
296,0,-1.4379,51.66299,1
297,0,-1.4379,51.66299,1
298,0,-1.4379,51.66299,1
299,0,-1.4379,51.66299,1
300,0,-1.4379,51.66299,1
301,0,-1.4379,51.66299,1
302,0,-1.4379,51.66299,1
303,1,-1.4379,51.66299,1
304,1,-1.4379,51.66299,1
305,1,-1.4379,51.66299,1
306,1,-1.4379,51.66299,1
307,0,-1.4379,51.66299,1
308,0,-1.4379,51.66299,1
309,0,-1.2734,44.45139,1
310,1,-1.2734,44.45139,1
311,1,-1.2734,44.45139,1
312,1,-1.1471,43.24095,1
313,0,-1.0417,43.52369,1
314,1,-0.9324,47.92995,1
315,1,-0.9324,47.92995,1
316,1,-0.9324,47.92995,1
317,1,-0.9324,49.59349,0
318,1,-0.9324,47.92995,1
319,1,-0.9324,47.92995,1
320,1,-0.9324,47.92995,1
321,1,-0.9324,47.92995,1
322,1,-0.6921,47.11013,1
323,0,-0.6921,47.11013,1
324,0,-0.6921,46.56774,1
325,0,-0.1989,44.11845,1
326,1,-0.1989,44.88328,0
327,1,-0.1989,44.88328,0
328,1,-0.1989,44.11845,1
329,0,-0.1989,44.11845,1
330,1,-0.0887,47.06091,0
331,0,-0.0887,43.64435,1
332,0,0.0238,44.89645,0
333,0,0.1651,43.38367,1
334,0,0.1651,45.41224,0
335,0,0.1651,45.41224,0
336,0,0.1833,43.63246,1
337,1,0.1833,43.63246,1
338,1,0.1833,43.63246,1
339,1,0.1833,43.63246,1
340,1,0.1833,43.63246,1
341,1,0.1833,43.63246,1
342,0,0.1833,43.63246,1
343,0,0.1833,44.71148,0
344,1,0.1833,44.71148,0
345,1,0.1833,43.63246,1
346,1,0.1833,43.63246,1
347,1,0.1833,43.63246,1
348,0,0.1833,44.71148,0
349,0,0.2373,44.9758,0
350,0,0.2373,44.79568,1
351,0,0.2373,44.9758,0
352,1,0.2842,51.26711,1
353,0,0.2842,51.26711,1
354,0,0.3533,43.42358,1
355,0,0.3998,49.4224,0
356,0,0.3998,46.75039,1
357,0,0.5032,45.22144,0
358,0,0.6407,44.92277,1
359,0,0.8385,45.79332,1
360,0,0.8385,45.79332,1
361,0,0.8385,47.58956,0
362,1,1.0241,42.81198,1
363,1,1.4012,55.16559,0
364,0,1.4012,53.2496,1
365,0,1.4012,53.2496,1
366,0,1.4012,53.2496,1
367,1,1.4012,53.2496,1
368,1,1.4012,55.16559,0
369,0,1.4012,53.2496,1
370,0,1.4012,53.2496,1
371,0,1.4012,53.2496,1
372,0,1.4012,53.2496,1
373,0,1.4027,46.27059,1
374,1,1.57,44.40934,1
375,0,1.57,44.40934,1
376,1,1.57,44.70903,0
377,0,1.57,44.40934,1
378,0,1.57,44.40934,1
379,1,1.57,44.70903,0
380,1,1.57,44.70903,0
381,1,1.57,44.40934,1
382,0,1.5866,45.22034,1
383,1,1.5866,45.22034,1
384,1,1.5866,45.22034,1
385,1,1.5866,45.22034,1
386,0,1.5866,45.22034,1
387,0,1.5866,45.22034,1
388,0,1.5866,45.22034,1
389,0,1.5866,45.22034,1
390,0,1.5866,45.22034,1
391,1,1.6256,43.78833,0
392,1,1.7012,45.65199,0
393,0,1.7012,43.60253,1
394,1,1.8466,44.65339,1
395,0,2.0105,46.30672,1
396,0,2.6327,46.69056,0
397,1,3.037,46.0012,0
398,1,3.037,44.34639,1
399,1,3.037,41.34943,1
400,1,3.037,46.0012,0
401,1,3.037,46.0012,0
402,0,3.037,44.34639,1
403,0,3.037,44.34639,1
404,0,3.037,44.34639,1
405,0,3.037,44.34639,1
406,0,3.037,44.34639,1
407,1,3.037,44.34639,1
408,1,3.037,44.34639,1
409,0,3.037,46.0012,0
410,0,3.037,44.34639,1
411,0,3.037,44.34639,1
412,0,3.037,44.34639,1
413,1,3.037,46.0012,0
414,0,3.037,44.34639,1
415,0,3.037,44.34639,1
416,1,3.037,44.34639,1
417,1,3.037,44.34639,1
418,1,3.037,44.34639,1
419,1,3.037,44.34639,1
420,1,3.037,46.0012,0
421,1,3.037,44.34639,1
422,0,3.037,44.34639,1
423,0,3.037,44.34639,1
424,1,3.14938,49.6177,1
425,1,3.14938,49.6177,1
426,1,3.14938,50.78688,0
427,1,3.14938,50.78688,0
428,0,3.14938,49.6177,1
429,0,3.14938,49.6177,1
430,0,3.14938,49.6177,1
431,0,3.14938,49.6177,1
432,0,3.14938,49.6177,1
433,1,3.14938,50.78688,0
434,1,3.14938,49.6177,1
435,1,3.14938,49.6177,1
436,1,3.14938,49.6177,1
437,1,3.14938,49.6177,1
438,1,3.14938,50.78688,0
439,1,3.14938,49.6177,1
440,0,3.14938,49.6177,1
441,0,3.14938,49.6177,1
442,0,3.14938,49.6177,1
443,0,3.14938,49.6177,1
444,0,3.14938,50.78688,0
445,1,3.14938,49.6177,1
446,1,3.14938,49.6177,1
447,1,3.14938,50.78688,0
448,1,3.14938,49.6177,1
449,0,3.14938,49.6177,1
450,0,3.14938,49.6177,1
451,0,3.14938,49.6177,1
452,0,3.14938,49.6177,1
453,0,3.14938,49.6177,1
454,1,3.14938,49.6177,1
455,1,3.14938,49.6177,1
456,1,3.14938,49.6177,1
457,0,3.14938,49.6177,1
458,0,3.14938,49.6177,1
459,0,3.14938,49.6177,1
460,0,3.14938,49.6177,1
461,0,3.14938,49.6177,1
462,1,3.3265,46.02614,1
463,0,3.375,45.87598,1
464,0,3.5207,44.02332,1
465,1,3.5207,44.02332,1
466,1,3.5207,44.02332,1
467,1,3.5207,44.02332,1
468,1,3.5207,44.93599,0
469,1,3.6486,47.5756,1
470,0,3.7165,48.62484,1
471,0,3.7165,48.62484,1
472,0,3.7165,51.07205,0
473,0,3.7165,48.62484,1
474,0,3.7165,51.07205,0
475,1,3.7165,48.62484,1
476,1,3.7165,51.07205,0
477,1,3.7165,48.62484,1
478,1,3.7165,48.62484,1
479,0,3.7165,48.62484,1
480,0,3.7165,48.62484,1
481,0,3.7165,48.62484,1
482,0,3.7165,48.62484,1
483,1,3.7165,48.62484,1
484,1,3.7165,48.62484,1
485,0,3.7165,48.62484,1
486,0,3.7165,48.62484,1
487,0,3.7165,48.62484,1
488,0,3.7165,51.07205,0
489,1,3.754,48.30647,1
490,1,3.754,48.30647,1
491,1,3.7648,49.68781,1
492,0,3.7648,49.68781,1
493,1,3.7648,49.68781,1
494,0,3.7648,49.68781,1
495,0,3.7648,49.68781,1
496,0,3.7648,49.68781,1
497,0,3.7648,49.68781,1
498,0,3.7648,49.68781,1
499,0,3.7648,49.68781,1
